RiverNumber;RiverList;RiverYear;CatchForFile;OrigCatchForFile;FemPropForFile;Spawn_W_mod;Spawn_W_min;Spawn_W_max;Spawn_W_med;GBM_maal;GBM_prob;Spawn4yrMin;Spawn4yrMed;Spawn4yrMax;GBM_4yr_maal;GBM_4yr_prob;Expl_L;Expl_M;Expl_H;ExplAdj;UnrepForFile
6;Utsjoki;2015;2147.20038634626;2149;0.62;5097.03309546808;4044.20462075255;6296.37772445053;5109.48236247002;2.41131802805268;1;5013.69173914524;6328.04389763332;7850.75460139148;3.00364842082392;1;0.18355896520255;0.204228073685312;0.234087642152579;0;0
6;Utsjoki;2016;2088.24979407337;2090;0.62;4868.00675381276;3821.65262429255;6080.54309112826;4855.41083970117;2.30881945016861;1;4537.98050179508;5745.22033855572;7151.22980119061;2.72990878643559;1;0.187199274012583;0.207571225938801;0.238464339501755;0;0
6;Utsjoki;2017;1851.44826240094;1853;0.64;3405.32732545376;2505.24321747519;4580.11557773581;3418.00345467089;1.64547539716339;0.9972;3738.29343897891;4793.98760561445;6061.48134562347;2.28277200605078;1;0.215978699963405;0.253715101544765;0.303790381658516;0;0
6;Utsjoki;2018;1922.38880564458;1924;0.57;6051.33458471286;4759.31225739658;7420.41536933252;6018.13554714204;2.84903148635914;1;3782.60317997922;4855.42543986187;6094.36294066178;2.30347627342269;1;0.13682822914589;0.151589666359274;0.174397125340648;0;0
6;Utsjoki;2019;1555.69613845562;1557;0.62;1665.66653300576;1248.14731274396;2132.76449289637;1668.28467809115;0.789297738542138;0.0794;3083.58885297707;3997.58379924629;5053.45963277324;1.89674060613657;1;0.325455526260875;0.363189879266941;0.414250161536628;0;0
6;Utsjoki;2020;884.258884093271;885;0.62;1553.20110872916;1215.99960931566;1954.88130936597;1554.31767996192;0.738887721066819;0.0317;2432.17559923285;3168.88238797538;4022.04418733267;1.50430619919017;0.9928;0.231844201174526;0.257272944514376;0.295103073282522;0;0
7;Kuoppilasjoki;2006;900.245485387613;901;0.35;458.468966950737;301.225481080488;711.09894684371;463.434440876123;1.6979570996719;0.9883;0;0;0;0;0;0.320457056338282;0.401044666902143;0.499341491405046;0;0
7;Kuoppilasjoki;2007;876.2655834461;877;0.54;683.579639008208;433.336429795437;1087.82553328139;691.826473314413;2.55298052188011;1;0;0;0;0;0;0.322363695864917;0.401518214588645;0.499002560374762;0;0
7;Kuoppilasjoki;2008;791.33676406991;792;0.55;631.907131583035;407.73501688886;975.160780545043;639.91807347711;2.32695792425764;1;0;0;0;0;0;0.320613031530868;0.400284304779599;0.499277078252024;0;0
7;Kuoppilasjoki;2009;442.629023337084;443;0.43;279.930075386591;179.769773062072;434.567101638363;279.269559500199;1.03304235952479;0.5092;330.516675206714;513.471453232143;802.163090577127;1.90044660712483;0.9972;0.321080078614771;0.401794939654454;0.499348484728144;0;0
7;Kuoppilasjoki;2010;623.477450479323;624;0.45;407.98087400505;258.602389403132;632.302055022475;411.460179578062;1.50069988669239;0.9461;319.860902287375;500.849429995721;782.463867621818;1.85416365798625;0.9944;0.320772772329577;0.402540079352672;0.498655796638995;0;0
7;Kuoppilasjoki;2011;342.712765247449;343;0.4;194.366654475005;127.11392996924;305.527457568296;200.228048189738;0.724239098107926;0.0667;243.305277330826;378.54618386242;586.889348693544;1.39584157357796;0.9055;0.321499248077758;0.40128260838813;0.498615828321342;0;0
7;Kuoppilasjoki;2012;763.360211804812;764;0.33;361.40112933082;236.020261138803;570.453273944769;370.487686665524;1.34942279250204;0.876;200.376588393312;310.919683299366;485.712472043476;1.15101944014103;0.6853;0.321051746081444;0.40033501376262;0.49979085660015;0;0
7;Kuoppilasjoki;2013;565.526020787335;566;0.45;374.828013000426;241.91600485395;582.09885108767;373.163731368119;1.38678679389904;0.896;215.913146341281;334.644167702825;522.595409405803;1.23896397016053;0.7878;0.321058519079242;0.403189139808144;0.499739420266343;0;0
7;Kuoppilasjoki;2014;689.422180818483;690;0.43;432.339041549737;279.210366473218;652.495672011479;434.998516687927;1.57475637988295;0.9689;221.065140608803;340.733709588997;527.643813653054;1.25736459060883;0.8062;0.320844145999805;0.399286205989242;0.499571336644582;0;0
7;Kuoppilasjoki;2015;540.546956264926;541;0.47;378.655956022753;236.527954013815;566.273433243413;373.45970363225;1.36216792622962;0.8906;248.418646619947;386.806034975934;592.830307571833;1.41725295271813;0.9216;0.322017479952319;0.396498438198133;0.49919407068631;0;0
7;Kuoppilasjoki;2016;602.4950362805;603;0.46;397.394980049181;261.82373927909;632.076895903513;404.683125598764;1.49283970389565;0.9444;254.869516155018;395.804497655524;608.236213061519;1.45321845477381;0.9264;0.321864733004468;0.400633844012184;0.498544675764633;0;0
7;Kuoppilasjoki;2017;548.540256912097;549;0.48;461.466970553426;303.362948840502;688.209620379282;459.470806221427;1.67755878564751;0.9896;270.231252151656;417.464237043774;634.763905384422;1.52631822917924;0.9572;0.288553068060288;0.361032473345962;0.449443261995802;0;0
7;Kuoppilasjoki;2018;270.773059422911;271;0.43;298.769261691449;205.552962792267;425.240425824145;294.960823850571;1.07429531392844;0.5958;251.816901231418;384.071792079202;577.950093837588;1.40217567907546;0.9185;0.224801740358095;0.278416604916519;0.348916262996392;0;0
7;Kuoppilasjoki;2019;496.583802705487;497;0.46;558.852420876341;377.427387631245;791.819112382974;551.337075143265;1.99552285242394;1;287.041759635776;429.120908292599;634.336513622479;1.56401660425221;0.9746;0.232588102474015;0.289858749354764;0.361713090567183;0;0
7;Kuoppilasjoki;2020;269.773896842015;270;0.46;306.121737307866;210.711842541423;454.645867380838;313.296351021881;1.12352124881498;0.6641;274.263785451359;406.30259760727;589.97875649181;1.46678946282872;0.9522;0.224444088558879;0.278676838921128;0.349271214557506;0;0
8;Leavvajohka;2006;1166.02273190604;1167;0.5;689.481953853025;430.977653754109;1108.21912166979;694.81901978728;1.66731858290173;0.9558;0;0;0;0;0;0.360867228383393;0.450465309694672;0.56077011625488;0;0
8;Leavvajohka;2007;1861.4398882099;1863;0.8;1755.87422923579;1100.42789245589;2761.60675150686;1772.71671520883;4.21970242019635;1;0;0;0;0;0;0.360483826426129;0.454278170146307;0.560507187074818;0;0
8;Leavvajohka;2008;1362.85776034262;1364;0.62;1014.88658031278;604.982813765218;1560.97853939143;1005.9575846686;2.3786656202685;0.9997;0;0;0;0;0;0.362257146247659;0.454369428482133;0.560649575233637;0;0
8;Leavvajohka;2009;695.417156303861;696;0.52;431.592237515092;263.144150768229;677.79898184928;430.978532777637;1.02527944973851;0.4666;599.883127685861;972.958750229172;1527.15084860434;2.31910155506677;0.9995;0.361063050994767;0.45197599824198;0.56083771929212;0;0
8;Leavvajohka;2010;980.17849185932;981;0.56;654.972251713701;399.364960130983;1028.46632332575;654.005302208274;1.55595003460269;0.9203;591.979954280079;964.331324694341;1507.21264901833;2.30343477917489;0.9997;0.362170109642216;0.451356653357806;0.560162971601016;0;0
8;Leavvajohka;2011;414.652471071986;415;0.59;297.211896333112;176.294015256017;465.714824511189;292.703934542637;0.703564174467153;0.0938;360.946484980112;599.665741468672;933.239667269414;1.4202161371738;0.8595;0.361175070563099;0.451099694922073;0.560831241620855;0;0
8;Leavvajohka;2012;1036.13159638952;1037;0.48;595.497539857885;366.815049845572;932.853639026468;593.804485901052;1.42133003112363;0.8623;301.404544000201;494.818481354947;776.208442178173;1.17863119489486;0.657;0.360458181934007;0.450660815757504;0.559659507934418;0;0
8;Leavvajohka;2013;889.254696997753;890;0.56;588.262029955324;360.207241384963;937.295297335739;594.204807369254;1.41389479872872;0.8554;325.670316654384;533.985929465006;841.082521049788;1.27413021345482;0.7493;0.360849248649214;0.45002575109995;0.560828373886126;0;0
8;Leavvajohka;2014;1084.09140027254;1085;0.52;651.639423530872;415.510874698791;1081.0060051594;671.567325700337;1.60127531650254;0.9328;329.706795296336;533.152722419298;854.2174415082;1.28588753545633;0.7635;0.361796425278507;0.450657646029441;0.561115646406979;0;0
8;Leavvajohka;2015;849.288193761899;850;0.57;574.250959696695;356.590333695982;907.908537096995;574.53124899063;1.37231897583651;0.8318;374.780874906327;602.412488260194;964.765869654651;1.45687899401285;0.8763;0.360578768851094;0.452035009794141;0.560548211502841;0;0
8;Leavvajohka;2016;947.206126689741;948;0.56;644.159792780629;386.8014697842;996.706380585827;635.801960481485;1.51761085760682;0.9087;379.777479890984;614.57805149088;980.729055044491;1.48158324617659;0.8871;0.360400142338285;0.452367392016424;0.561466479324168;0;0
8;Leavvajohka;2017;1294.91470484167;1296;0.58;1093.26056762102;705.588901194808;1692.45971588973;1102.30011323674;2.61836020528401;1;466.122894843445;740.827685907305;1169.52015968299;1.7788824261846;0.9744;0.321263362716992;0.404589838006956;0.498972657562663;0;0
